name,commercialRegister,approvalNumber,specialization,status
Dar Al-Handasa Press,CR-10234,APP-771,publishing,active
Future Print Co,CR-10235,APP-772,publishing,active
Al Waseet Legal,CR-20411,APP-889,service,active
ContractHub LLC,CR-20412,APP-890,service,active
RapidFix,CR-34001,APP-913,maintenance,active
MENA Maintenance,CR-34002,APP-914,maintenance,active
Al-Noor Trading,CR-41050,APP-951,supply,active
Iraq Supplies Group,CR-41051,APP-952,supply,active
Delta Finance,CR-55003,APP-978,service,active
Qaf Accounting,CR-55004,APP-979,service,active
